Fecha,Local,Visitante,Goles_Local,Goles_Visitante,Resultado
2024-11-03,Tigre,Platense,0,0,E
2024-11-03,Racing Club,Instituto Cordoba,2,0,L
2024-11-03,Lanus,Boca Juniors,1,0,L
2024-11-04,Atletico Tucuman,Sarmiento Junin,1,0,L
2024-11-05,Independ. Rivadavia,Rosario Central,1,1,E
2024-11-05,Gimnasia L.P.,Central Cordoba de Santiago,0,0,E
2024-11-05,San Lorenzo,Estudiantes L.P.,1,1,E
2024-11-06,Independiente,Union Santa Fe,3,0,L
2024-11-06,Newells Old Boys,Huracan,2,4,V
2024-11-06,Barracas Central,Racing Club,0,2,V
2024-11-06,Banfield,Belgrano Cordoba,1,1,E
2024-11-06,Boca Juniors,Godoy Cruz,4,1,L
2024-11-07,Instituto Cordoba,River Plate,2,3,V
2024-11-07,Talleres Cordoba,Lanus,1,2,V
2024-11-07,Defensa Y Justicia,Argentinos JRS,2,1,L
2024-11-08,Platense,Deportivo Riestra,0,0,E
2024-11-08,Velez Sarsfield,Tigre,1,0,L
2024-11-09,Union Santa Fe,Atletico Tucuman,1,0,L
2024-11-09,Gimnasia L.P.,Newells Old Boys,1,0,L
2024-11-09,Rosario Central,San Lorenzo,0,1,V
2024-11-10,Huracan,Independiente,1,0,L
2024-11-10,Central Cordoba de Santiago,Estudiantes L.P.,1,1,E
2024-11-10,River Plate,Barracas Central,3,0,L
2024-11-10,Godoy Cruz,Talleres Cordoba,0,1,V
2024-11-10,Racing Club,Independ. Rivadavia,2,1,L
2024-11-11,Sarmiento Junin,Boca Juniors,0,2,V
2024-11-11,Deportivo Riestra,Velez Sarsfield,1,1,E
2024-11-11,Lanus,Platense,0,0,E
2024-11-11,Tigre,Defensa Y Justicia,0,4,V
2024-11-12,Belgrano Cordoba,Instituto Cordoba,3,1,L
2024-11-12,Argentinos JRS,Banfield,1,0,L
2024-11-17,San Lorenzo,Racing Club,1,2,V
2024-11-18,Banfield,Tigre,0,1,V
2024-11-18,Defensa Y Justicia,Deportivo Riestra,1,1,E
2024-11-18,Platense,Godoy Cruz,1,0,L
2024-11-19,Atletico Tucuman,Huracan,4,2,L
2024-11-19,Instituto Cordoba,Argentinos JRS,1,0,L
2024-11-20,Newells Old Boys,Central Cordoba de Santiago,2,3,V
2024-11-20,Velez Sarsfield,Lanus,0,0,E
2024-11-20,Estudiantes L.P.,Rosario Central,1,1,E
2024-11-21,Boca Juniors,Union Santa Fe,1,0,L
2024-11-21,Barracas Central,Belgrano Cordoba,1,1,E
2024-11-21,Independiente,Gimnasia L.P.,1,0,L
2024-11-21,Talleres Cordoba,Sarmiento Junin,2,0,L
2024-11-22,Independ. Rivadavia,River Plate,2,1,L
2024-11-23,Tigre,Instituto Cordoba,0,0,E
2024-11-24,Huracan,Boca Juniors,0,0,E
2024-11-24,Gimnasia L.P.,Atletico Tucuman,1,0,L
2024-11-24,Deportivo Riestra,Banfield,1,1,E
2024-11-24,Godoy Cruz,Velez Sarsfield,0,0,E
2024-11-25,Lanus,Defensa Y Justicia,0,0,E
2024-11-25,Central Cordoba de Santiago,Rosario Central,0,1,V
2024-11-26,Belgrano Cordoba,Independ. Rivadavia,0,2,V
2024-11-26,Argentinos JRS,Barracas Central,0,1,V
2024-11-26,Newells Old Boys,Independiente,2,1,L
2024-11-27,Union Santa Fe,Talleres Cordoba,2,3,V
2024-11-27,Sarmiento Junin,Platense,1,0,L
2024-11-29,San Lorenzo,Belgrano Cordoba,0,2,V
2024-11-30,Estudiantes L.P.,River Plate,1,2,V
2024-11-30,Rosario Central,Racing Club,0,2,V
2024-11-30,Banfield,Lanus,0,1,V
2024-12-01,Defensa Y Justicia,Godoy Cruz,2,1,L
2024-12-01,Instituto Cordoba,Deportivo Riestra,2,1,L
2024-12-01,Independiente,Central Cordoba de Santiago,2,0,L
2024-12-01,Velez Sarsfield,Sarmiento Junin,1,0,L
2024-12-02,Boca Juniors,Gimnasia L.P.,1,0,L
2024-12-02,Barracas Central,Tigre,0,0,E
2024-12-02,Platense,Union Santa Fe,1,0,L
2024-12-02,Talleres Cordoba,Huracan,1,0,L
2024-12-03,Independ. Rivadavia,Argentinos JRS,2,1,L
2024-12-03,Atletico Tucuman,Newells Old Boys,0,0,E
2024-12-04,Racing Club,Estudiantes L.P.,4,5,V
2024-12-05,River Plate,San Lorenzo,1,1,E
2024-12-06,Deportivo Riestra,Barracas Central,0,0,E
2024-12-06,Sarmiento Junin,Defensa Y Justicia,1,1,E
2024-12-07,Lanus,Instituto Cordoba,2,0,L
2024-12-07,Union Santa Fe,Velez Sarsfield,1,0,L
2024-12-08,Central Cordoba de Santiago,Racing Club,3,1,L
2024-12-08,Gimnasia L.P.,Talleres Cordoba,0,1,V
2024-12-08,Godoy Cruz,Banfield,4,0,L
2024-12-08,River Plate,Rosario Central,4,0,L
2024-12-09,Newells Old Boys,Boca Juniors,0,1,V
2024-12-09,Tigre,Independ. Rivadavia,0,2,V
2024-12-09,Belgrano Cordoba,Estudiantes L.P.,2,2,E
2024-12-09,Argentinos JRS,San Lorenzo,1,0,L
2024-12-10,Huracan,Platense,1,0,L
2024-12-10,Independiente,Atletico Tucuman,2,1,L
2024-12-13,Estudiantes L.P.,Argentinos JRS,2,2,E
2024-12-13,Barracas Central,Lanus,3,3,E
2024-12-14,Banfield,Sarmiento Junin,1,1,E
2024-12-14,San Lorenzo,Tigre,0,1,V
2024-12-14,Rosario Central,Belgrano Cordoba,2,1,L
2024-12-14,Instituto Cordoba,Godoy Cruz,1,3,V
2024-12-14,Boca Juniors,Independiente,0,0,E
2024-12-15,Racing Club,River Plate,1,0,L
2024-12-15,Defensa Y Justicia,Union Santa Fe,0,0,E
2024-12-15,Platense,Gimnasia L.P.,1,0,L
2024-12-15,Velez Sarsfield,Huracan,2,0,L
2024-12-15,Talleres Cordoba,Newells Old Boys,1,3,V
2024-12-17,Atletico Tucuman,Central Cordoba de Santiago,2,0,L
2024-12-17,Independ. Rivadavia,Deportivo Riestra,0,0,E
